Date,Clicks,Impressions,CTR,Position
2026-05-08,0,108,0.0,11.5
2026-05-09,1,85,0.0118,15.5
2026-05-10,0,69,0.0,14.9
2026-05-11,0,95,0.0,17.1
2026-05-12,0,101,0.0,16.3
2026-05-13,0,79,0.0,13.6
2026-05-14,0,118,0.0,16.1
2026-05-15,0,112,0.0,16.4
2026-05-16,0,84,0.0,14.9
2026-05-17,0,103,0.0,15.8
2026-05-18,0,85,0.0,24.2
2026-05-19,2,67,0.029900000000000003,18.8
2026-05-20,2,89,0.0225,19.2
2026-05-21,0,60,0.0,18.6
2026-05-22,0,76,0.0,16.0
2026-05-23,1,89,0.011200000000000002,19.3
2026-05-24,1,259,0.0039000000000000003,10.0
2026-05-25,2,129,0.0155,11.6
2026-05-26,3,199,0.0151,12.6
2026-05-27,8,207,0.038599999999999995,11.8
2026-05-28,2,214,0.009300000000000001,10.9
2026-05-29,1,232,0.0043,10.1
2026-05-30,2,353,0.005699999999999999,9.5
2026-05-31,7,486,0.0144,10.4
2026-06-01,4,519,0.0077,9.7
2026-06-02,4,532,0.0075,8.4
2026-06-03,5,510,0.0098,7.8
2026-06-04,3,431,0.006999999999999999,8.7
2026-06-05,4,486,0.008199999999999999,7.9
2026-06-06,4,360,0.0111,9.0
2026-06-07,5,574,0.0087,8.0
2026-06-08,6,806,0.0074,9.0
2026-06-09,11,848,0.013000000000000001,7.6
2026-06-10,5,871,0.005699999999999999,8.0
2026-06-11,12,1007,0.011899999999999999,7.3
2026-06-12,10,1034,0.0097,6.8
2026-06-13,7,886,0.0079,7.5
2026-06-14,11,1081,0.0102,8.0
2026-06-15,22,1540,0.0143,7.6
2026-06-16,10,1596,0.0063,6.9
2026-06-17,13,1500,0.0087,6.8
2026-06-18,12,1565,0.0077,6.9
2026-06-19,15,1356,0.0111,7.1
2026-06-20,11,1136,0.0097,7.2
2026-06-21,12,1090,0.011000000000000001,7.5
2026-06-22,15,1305,0.0115,7.0
2026-06-23,19,1307,0.014499999999999999,7.0
2026-06-24,17,1357,0.0125,6.6
2026-06-25,10,1316,0.0076,6.6
2026-06-26,14,1476,0.0095,7.0
2026-06-27,11,1162,0.0095,6.7
2026-06-28,5,1011,0.0049,7.5
2026-06-29,9,1282,0.006999999999999999,6.7
2026-06-30,17,1516,0.011200000000000002,6.8
2026-07-01,19,1678,0.0113,6.9
2026-07-02,16,1786,0.009000000000000001,6.9
2026-07-03,14,1732,0.008100000000000001,6.8
2026-07-04,13,1321,0.0098,6.9
2026-07-05,13,1656,0.0079,6.8
2026-07-06,19,1854,0.0102,6.8
2026-07-07,24,2040,0.0118,7.1
2026-07-08,22,1802,0.012199999999999999,6.6
2026-07-09,24,1841,0.013000000000000001,7.0
2026-07-10,21,1831,0.0115,7.1
2026-07-11,13,1830,0.0070999999999999995,7.1
2026-07-12,23,1902,0.0121,7.1
2026-07-13,17,2189,0.0078000000000000005,6.9
2026-07-14,32,2280,0.013999999999999999,6.9
2026-07-15,16,2141,0.0075,6.9
2026-07-16,10,1861,0.0054,6.5
2026-07-17,24,1736,0.0138,6.7
2026-07-18,17,1568,0.0108,6.2
2026-07-19,15,1491,0.0101,7.2
2026-07-20,19,1750,0.0109,7.0
2026-07-21,17,1800,0.009399999999999999,6.9
2026-07-22,29,1710,0.017,6.5
2026-07-23,23,1723,0.013300000000000001,6.8
2026-07-24,26,1841,0.0141,6.9
2026-07-25,14,1583,0.0088,7.1
2026-07-26,22,1791,0.0123,7.6
2026-07-27,29,2514,0.0115,7.4
2026-07-28,28,2500,0.011200000000000002,6.8
2026-07-29,26,2770,0.009399999999999999,7.4
2026-07-30,20,2686,0.0074,7.1
2026-07-31,24,2390,0.01,6.8
2026-08-01,18,2230,0.008100000000000001,6.9
2026-08-02,20,2055,0.0097,6.9
2026-08-03,24,2613,0.0092,7.2
2026-08-04,27,2751,0.0098,6.7
2026-08-05,34,3151,0.0108,7.3
2026-08-06,33,3989,0.0083,7.8
2026-08-07,28,2809,0.01,6.4
