Country,Clicks,Impressions,CTR,Position
United States,445,50436,0.0088,8.33
United Kingdom,115,8411,0.0137,7.0
Nigeria,92,6518,0.0141,5.23
Canada,52,4783,0.0109,7.06
South Africa,47,3952,0.011899999999999999,5.81
Australia,46,3393,0.013600000000000001,6.46
Kenya,44,3316,0.013300000000000001,5.25
India,31,4882,0.0063,6.9
Ghana,24,1389,0.0173,5.17
Philippines,22,3229,0.0068000000000000005,6.08
Zambia,15,946,0.0159,5.37
Germany,15,795,0.0189,6.04
United Arab Emirates,14,789,0.0177,5.57
Uganda,13,1554,0.0084,5.12
Ireland,10,640,0.015600000000000001,5.78
Singapore,9,717,0.0126,6.15
Spain,9,481,0.0187,8.06
Malaysia,8,597,0.0134,6.75
France,8,368,0.0217,7.0
Poland,7,311,0.0225,6.43
New Zealand,6,579,0.0104,6.35
Bangladesh,6,207,0.028999999999999998,11.26
Denmark,6,137,0.0438,6.15
Pakistan,4,585,0.0068000000000000005,7.56
Jamaica,4,384,0.0104,5.78
Mexico,4,341,0.011699999999999999,8.41
Belgium,4,204,0.0196,6.63
Portugal,4,159,0.0252,6.89
Switzerland,4,127,0.0315,6.46
Thailand,3,1099,0.0027,4.0
Italy,3,476,0.0063,6.67
Indonesia,3,411,0.0073,10.2
Namibia,3,404,0.0074,5.87
Hong Kong,3,361,0.0083,5.87
Egypt,3,202,0.0149,7.35
Guernsey,3,41,0.0732,5.32
Netherlands,2,609,0.0033,6.43
Greece,2,206,0.0097,5.28
Israel,2,179,0.011200000000000002,6.59
Tanzania,2,177,0.0113,6.24
Nepal,2,149,0.0134,5.54
Finland,2,118,0.0169,6.01
Rwanda,2,105,0.019,5.58
Bahrain,2,65,0.0308,5.46
Congo - Kinshasa,2,34,0.0588,4.26
Antigua & Barbuda,2,23,0.087,4.3
Moldova,2,18,0.11109999999999999,8.17
Saudi Arabia,1,431,0.0023,8.12
Japan,1,343,0.0029,6.98
Brazil,1,298,0.0034000000000000002,8.48
Zimbabwe,1,267,0.0037,5.65
Russia,1,228,0.0044,9.52
Sweden,1,212,0.004699999999999999,6.49
Malawi,1,208,0.0048,5.62
Cameroon,1,200,0.005,6.14
Botswana,1,194,0.0052,5.53
Turkey,1,182,0.0055000000000000005,9.21
Sri Lanka,1,165,0.0060999999999999995,5.41
Norway,1,163,0.0060999999999999995,5.93
South Korea,1,163,0.0060999999999999995,6.13
Trinidad & Tobago,1,143,0.006999999999999999,5.51
Qatar,1,141,0.0070999999999999995,5.93
Bahamas,1,123,0.008100000000000001,5.28
Sierra Leone,1,108,0.009300000000000001,5.64
Czechia,1,100,0.01,5.82
Austria,1,93,0.0108,6.16
Papua New Guinea,1,91,0.011000000000000001,5.9
Jordan,1,87,0.0115,13.94
Lesotho,1,81,0.0123,7.16
Malta,1,75,0.013300000000000001,5.89
Cyprus,1,58,0.0172,5.14
Chile,1,53,0.0189,7.32
Dominican Republic,1,52,0.0192,5.85
Puerto Rico,1,52,0.0192,6.4
Costa Rica,1,33,0.030299999999999997,6.7
Slovenia,1,27,0.037000000000000005,6.7
