Top pages,Clicks,Impressions,CTR,Position
https://you-owe-me.com/blog/how-to-remind-someone-they-owe-you-money-politely/,317,31128,0.0102,6.2
https://you-owe-me.com/,221,10994,0.020099999999999996,6.48
https://you-owe-me.com/tools/split-expense-calculator/,181,19738,0.0092,6.79
https://you-owe-me.com/solutions/app-to-track-money-owed/,101,5737,0.0176,7.73
https://you-owe-me.com/blog/how-to-politely-say-no-when-people-ask-for-money/,72,14195,0.0051,7.31
https://you-owe-me.com/blog/what-is-a-running-balance-between-two-people/,40,11186,0.0036,5.57
https://you-owe-me.com/tools/payment-plan-calculator/,33,3185,0.0104,6.51
https://you-owe-me.com/tools/running-balance-calculator/,26,2074,0.0125,7.29
https://you-owe-me.com/tools/roommate-bill-split-calculator/,19,1608,0.0118,8.0
https://you-owe-me.com/blog/how-to-ask-to-borrow-money-from-a-friend-without-making-it-awkward/,13,1634,0.008,7.72
https://you-owe-me.com/tools/repayment-receipt-generator/,13,566,0.023,12.84
https://you-owe-me.com/blog/how-do-you-confront-someone-who-owes-you-money-without-ruining-the-relationship/,12,2471,0.0049,8.14
https://you-owe-me.com/reviews/,12,1585,0.0076,8.11
https://you-owe-me.com/features/,8,1224,0.006500000000000001,7.06
https://you-owe-me.com/tools/group-payback-calculator/,8,628,0.0127,7.17
https://you-owe-me.com/blog/how-to-keep-track-of-who-owes-you-money/,8,393,0.0204,19.56
https://you-owe-me.com/tools/couple-expense-split-method-calculator/,6,880,0.0068000000000000005,7.3
https://you-owe-me.com/blog/how-to-split-rent-utilities-and-groceries-with-roommates/,6,640,0.009399999999999999,9.86
https://you-owe-me.com/tools/,6,616,0.0097,9.02
https://you-owe-me.com/blog/how-to-track-money-you-pay-for-elderly-parents/,6,241,0.024900000000000002,11.47
https://you-owe-me.com/solutions/elderly-parent-expense-tracker/,6,206,0.0291,6.83
https://you-owe-me.com/blog/how-to-ask-family-for-temporary-financial-help/,5,901,0.0055000000000000005,7.18
https://you-owe-me.com/blog/how-to-ask-someone-to-pay-you-back-without-being-rude/,4,813,0.0049,9.22
https://you-owe-me.com/find/,4,538,0.0074,7.77
https://you-owe-me.com/tools/polite-payback-reminder-generator/,3,430,0.006999999999999999,13.15
https://you-owe-me.com/solutions/shared-expense-tracker/,2,1058,0.0019,20.1
https://you-owe-me.com/solutions/client-payment-records/,2,522,0.0038,8.3
https://you-owe-me.com/solutions/,2,338,0.0059,9.4
https://you-owe-me.com/blog/how-to-track-subscriptions-and-bills-you-pay-for-family/,2,337,0.0059,15.35
https://you-owe-me.com/tools/partial-repayment-calculator/,2,212,0.009399999999999999,7.8
https://you-owe-me.com/tools/family-reimbursement-tracker-template/,2,79,0.0253,6.38
https://you-owe-me.com/compare/splitwise-alternative/,1,676,0.0015,16.84
https://you-owe-me.com/solutions/expense-tracker-for-couples/,1,626,0.0016,17.48
https://you-owe-me.com/tools/repayment-reminder-text-examples/,1,618,0.0016,14.02
https://you-owe-me.com/solutions/family-reimbursement-tracker/,1,466,0.0021,5.83
https://you-owe-me.com/solutions/temporary-financial-support-tracker/,1,405,0.0025,8.97
https://you-owe-me.com/compare/best-way-to-track-ious-between-people/,1,345,0.0029,8.47
https://you-owe-me.com/blog/can-one-person-track-shared-money-without-everyone-installing-an-app/,1,166,0.006,9.54
https://you-owe-me.com/blog/how-to-send-a-repayment-update-when-you-need-more-time/,1,162,0.0062,9.2
https://you-owe-me.com/blog/how-to-keep-track-of-money-between-family-members/,1,149,0.0067,8.77
https://you-owe-me.com/blog/how-to-handle-a-friend-who-keeps-borrowing-money/,1,112,0.0089,7.99
https://you-owe-me.com/blog/how-to-split-expenses-in-a-relationship-without-fighting/,1,87,0.0115,17.59
https://you-owe-me.com/solutions/personal-loan-repayment-tracker/,1,50,0.02,13.92
https://you-owe-me.com/solutions/roommate-expense-tracker/,0,959,0.0,16.49
https://you-owe-me.com/compare/shared-expense-app-vs-running-balance-app/,0,487,0.0,7.76
https://you-owe-me.com/blog/i-pay-more-than-my-partner/,0,359,0.0,12.05
https://you-owe-me.com/blog/how-to-split-costs-when-people-pay-at-different-times/,0,298,0.0,10.77
https://you-owe-me.com/quick-start/,0,295,0.0,5.61
https://you-owe-me.com/blog/how-to-track-who-paid-you-back-for-a-group-expense/,0,262,0.0,8.38
https://you-owe-me.com/blog/,0,255,0.0,6.37
https://you-owe-me.com/blog/how-to-track-money-between-roommates/,0,246,0.0,29.2
https://you-owe-me.com/compare/spreadsheet-vs-app-for-tracking-money-owed/,0,208,0.0,12.26
https://you-owe-me.com/blog/when-to-ask-for-money-back-or-send-a-repayment-update/,0,183,0.0,7.21
https://you-owe-me.com/tools/couple-shared-expense-balance-calculator/,0,156,0.0,6.29
https://you-owe-me.com/compare/,0,151,0.0,9.7
https://you-owe-me.com/blog/how-to-follow-up-after-a-partial-repayment/,0,148,0.0,7.49
https://you-owe-me.com/blog/how-to-track-shared-expenses-without-constantly-reconciling-every-transaction/,0,141,0.0,17.57
https://you-owe-me.com/privacy-and-data/,0,138,0.0,4.04
https://you-owe-me.com/blog/how-to-suggest-a-repayment-plan-to-someone-who-owes-you-money/,0,106,0.0,7.14
https://you-owe-me.com/blog/how-to-handle-awkward-money-conversations/,0,96,0.0,8.77
https://you-owe-me.com/blog/how-to-split-shared-costs-when-someone-cancels/,0,64,0.0,8.3
https://you-owe-me.com/blog/how-to-track-a-personal-loan-between-friends-or-family/,0,58,0.0,12.84
https://you-owe-me.com/blog/am-i-wrong-for-asking-for-my-money-back/,0,54,0.0,6.91
https://you-owe-me.com/blog/how-to-clarify-if-money-was-a-gift-or-a-loan/,0,47,0.0,9.11
https://you-owe-me.com/blog/how-to-split-a-bill-fairly-when-one-person-ordered-less/,0,43,0.0,10.72
https://you-owe-me.com/tools/personal-loan-payment-tracker/,0,43,0.0,20.53
https://you-owe-me.com/blog/how-to-remind-a-group-to-pay-you-back-without-spamming-everyone/,0,40,0.0,5.4
https://you-owe-me.com/blog/why-simple-loans-dont-stay-simple/,0,29,0.0,5.72
https://you-owe-me.com/solutions/group-payback-tracker/,0,23,0.0,4.04
https://you-owe-me.com/blog/how-to-split-parent-expenses-with-siblings-fairly/,0,23,0.0,17.3
https://you-owe-me.com/blog/how-to-stop-giving-someone-money/,0,22,0.0,6.82
https://you-owe-me.com/blog/how-to-settle-shared-expenses-after-a-breakup/,0,18,0.0,11.83
https://you-owe-me.com/blog/what-to-do-when-you-disagree-about-how-much-money-is-still-owed/,0,15,0.0,11.07
https://you-owe-me.com/images/shared/app-screenshots/6.8.5_money_between_people.webp,0,11,0.0,5.82
https://you-owe-me.com/images/solutions/app-to-track-money-owed/app-to-track-money-owed-app-hero.webp,0,6,0.0,4.5
https://www.you-owe-me.com/,0,2,0.0,1.0
https://you-owe-me.com/images/shared/product-screenshots/loans_6.9.jpeg,0,2,0.0,5.0
https://you-owe-me.com/blog/how-to-remind-someone-who-promised-you-money-by-text/,0,1,0.0,1.0
https://you-owe-me.com/images/shared/app-screenshots/6.8.5_share_clear_records.png,0,1,0.0,4.0
https://you-owe-me.com/images/solutions/roommate-expense-tracker/roommate-expense-tracker-app-hero.webp,0,1,0.0,7.0
