page_slug,page_url,marker,query_rows,clicks,impressions,share_visible_impressions,share_visible_clicks
app-to-track-money-owed,https://you-owe-me.com/solutions/app-to-track-money-owed/,product/app seeking,26,4,328,0.5996343692870201,1.0
app-to-track-money-owed,https://you-owe-me.com/solutions/app-to-track-money-owed/,tracking/record,17,1,243,0.44424131627056673,0.25
app-to-track-money-owed,https://you-owe-me.com/solutions/app-to-track-money-owed/,relationship/friend,7,0,36,0.06581352833638025,0.0
app-to-track-money-owed,https://you-owe-me.com/solutions/app-to-track-money-owed/,relationship/family,2,0,22,0.04021937842778794,0.0
app-to-track-money-owed,https://you-owe-me.com/solutions/app-to-track-money-owed/,repayment/plan,1,0,20,0.03656307129798903,0.0
app-to-track-money-owed,https://you-owe-me.com/solutions/app-to-track-money-owed/,relationship/group,2,0,15,0.027422303473491772,0.0
app-to-track-money-owed,https://you-owe-me.com/solutions/app-to-track-money-owed/,calculation/splitting,1,0,1,0.0018281535648994515,0.0
app-to-track-money-owed,https://you-owe-me.com/solutions/app-to-track-money-owed/,definition/meaning,1,0,1,0.0018281535648994515,0.0
app-to-track-money-owed,https://you-owe-me.com/solutions/app-to-track-money-owed/,communication/reminder,0,0,0,0.0,0.0
app-to-track-money-owed,https://you-owe-me.com/solutions/app-to-track-money-owed/,relationship/roommate,0,0,0,0.0,0.0
app-to-track-money-owed,https://you-owe-me.com/solutions/app-to-track-money-owed/,emotion/politeness,0,0,0,0.0,0.0
app-to-track-money-owed,https://you-owe-me.com/solutions/app-to-track-money-owed/,emotion/conflict,0,0,0,0.0,0.0
app-to-track-money-owed,https://you-owe-me.com/solutions/app-to-track-money-owed/,promised-money framing,0,0,0,0.0,0.0
borrow-money-from-friend,https://you-owe-me.com/blog/how-to-ask-to-borrow-money-from-a-friend-without-making-it-awkward/,communication/reminder,16,0,197,0.9704433497536946,0.0
borrow-money-from-friend,https://you-owe-me.com/blog/how-to-ask-to-borrow-money-from-a-friend-without-making-it-awkward/,relationship/friend,15,0,66,0.3251231527093596,0.0
borrow-money-from-friend,https://you-owe-me.com/blog/how-to-ask-to-borrow-money-from-a-friend-without-making-it-awkward/,product/app seeking,1,0,1,0.0049261083743842365,0.0
borrow-money-from-friend,https://you-owe-me.com/blog/how-to-ask-to-borrow-money-from-a-friend-without-making-it-awkward/,tracking/record,0,0,0,0.0,0.0
borrow-money-from-friend,https://you-owe-me.com/blog/how-to-ask-to-borrow-money-from-a-friend-without-making-it-awkward/,calculation/splitting,0,0,0,0.0,0.0
borrow-money-from-friend,https://you-owe-me.com/blog/how-to-ask-to-borrow-money-from-a-friend-without-making-it-awkward/,definition/meaning,0,0,0,0.0,0.0
borrow-money-from-friend,https://you-owe-me.com/blog/how-to-ask-to-borrow-money-from-a-friend-without-making-it-awkward/,repayment/plan,0,0,0,0.0,0.0
borrow-money-from-friend,https://you-owe-me.com/blog/how-to-ask-to-borrow-money-from-a-friend-without-making-it-awkward/,relationship/family,0,0,0,0.0,0.0
borrow-money-from-friend,https://you-owe-me.com/blog/how-to-ask-to-borrow-money-from-a-friend-without-making-it-awkward/,relationship/roommate,0,0,0,0.0,0.0
borrow-money-from-friend,https://you-owe-me.com/blog/how-to-ask-to-borrow-money-from-a-friend-without-making-it-awkward/,relationship/group,0,0,0,0.0,0.0
borrow-money-from-friend,https://you-owe-me.com/blog/how-to-ask-to-borrow-money-from-a-friend-without-making-it-awkward/,emotion/politeness,0,0,0,0.0,0.0
borrow-money-from-friend,https://you-owe-me.com/blog/how-to-ask-to-borrow-money-from-a-friend-without-making-it-awkward/,emotion/conflict,0,0,0,0.0,0.0
borrow-money-from-friend,https://you-owe-me.com/blog/how-to-ask-to-borrow-money-from-a-friend-without-making-it-awkward/,promised-money framing,0,0,0,0.0,0.0
confront-money-owed,https://you-owe-me.com/blog/how-do-you-confront-someone-who-owes-you-money-without-ruining-the-relationship/,relationship/friend,11,2,492,0.984,1.0
confront-money-owed,https://you-owe-me.com/blog/how-do-you-confront-someone-who-owes-you-money-without-ruining-the-relationship/,emotion/conflict,4,2,475,0.95,1.0
confront-money-owed,https://you-owe-me.com/blog/how-do-you-confront-someone-who-owes-you-money-without-ruining-the-relationship/,product/app seeking,1,0,10,0.02,0.0
confront-money-owed,https://you-owe-me.com/blog/how-do-you-confront-someone-who-owes-you-money-without-ruining-the-relationship/,communication/reminder,4,0,4,0.008,0.0
confront-money-owed,https://you-owe-me.com/blog/how-do-you-confront-someone-who-owes-you-money-without-ruining-the-relationship/,tracking/record,0,0,0,0.0,0.0
confront-money-owed,https://you-owe-me.com/blog/how-do-you-confront-someone-who-owes-you-money-without-ruining-the-relationship/,calculation/splitting,0,0,0,0.0,0.0
confront-money-owed,https://you-owe-me.com/blog/how-do-you-confront-someone-who-owes-you-money-without-ruining-the-relationship/,definition/meaning,0,0,0,0.0,0.0
confront-money-owed,https://you-owe-me.com/blog/how-do-you-confront-someone-who-owes-you-money-without-ruining-the-relationship/,repayment/plan,0,0,0,0.0,0.0
confront-money-owed,https://you-owe-me.com/blog/how-do-you-confront-someone-who-owes-you-money-without-ruining-the-relationship/,relationship/family,0,0,0,0.0,0.0
confront-money-owed,https://you-owe-me.com/blog/how-do-you-confront-someone-who-owes-you-money-without-ruining-the-relationship/,relationship/roommate,0,0,0,0.0,0.0
confront-money-owed,https://you-owe-me.com/blog/how-do-you-confront-someone-who-owes-you-money-without-ruining-the-relationship/,relationship/group,0,0,0,0.0,0.0
confront-money-owed,https://you-owe-me.com/blog/how-do-you-confront-someone-who-owes-you-money-without-ruining-the-relationship/,emotion/politeness,0,0,0,0.0,0.0
confront-money-owed,https://you-owe-me.com/blog/how-do-you-confront-someone-who-owes-you-money-without-ruining-the-relationship/,promised-money framing,0,0,0,0.0,0.0
group-payback-calculator,https://you-owe-me.com/tools/group-payback-calculator/,calculation/splitting,2,0,4,0.5,0.0
group-payback-calculator,https://you-owe-me.com/tools/group-payback-calculator/,relationship/group,1,0,3,0.375,0.0
group-payback-calculator,https://you-owe-me.com/tools/group-payback-calculator/,relationship/family,1,0,1,0.125,0.0
group-payback-calculator,https://you-owe-me.com/tools/group-payback-calculator/,communication/reminder,0,0,0,0.0,0.0
group-payback-calculator,https://you-owe-me.com/tools/group-payback-calculator/,tracking/record,0,0,0,0.0,0.0
group-payback-calculator,https://you-owe-me.com/tools/group-payback-calculator/,definition/meaning,0,0,0,0.0,0.0
group-payback-calculator,https://you-owe-me.com/tools/group-payback-calculator/,product/app seeking,0,0,0,0.0,0.0
group-payback-calculator,https://you-owe-me.com/tools/group-payback-calculator/,repayment/plan,0,0,0,0.0,0.0
group-payback-calculator,https://you-owe-me.com/tools/group-payback-calculator/,relationship/friend,0,0,0,0.0,0.0
