slug,page_url,clicks,impressions,ctr,position,selection_reasons,visible_query_rows,visible_clicks,visible_impressions,visible_ctr,zero_click_query_rows,zero_click_impression_share,top1_impression_share,top5_impression_share,top10_impression_share,top5_click_share,median_position,last_28d_clicks,previous_28d_clicks,click_growth_28d,last_28d_impressions,previous_28d_impressions,impression_growth_28d,source_export
remind-someone-owes-money,https://you-owe-me.com/blog/how-to-remind-someone-they-owe-you-money-politely/,317,31128,0.0102,6.2,"top-10 clicks, top-10 impressions, top-10 CTR among pages with >=500 impressions",202,60,5198,0.011542901115813775,179,0.3116583301269719,0.11485186610234706,0.40669488264717196,0.5890727202770296,0.6333333333333333,3.9450000000000003,167,136,0.2279411764705883,15266,13183,0.15800652355306077,GSC_PAGE_remind-someone-owes-money_3M_2026-05-08_to_2026-08-07.xlsx
homepage,https://you-owe-me.com/,221,10994,0.020099999999999996,6.48,"top-10 clicks, top-10 impressions, top-10 CTR among pages with >=500 impressions",196,46,5182,0.00887688151292937,184,0.38247780779621765,0.26379776148205325,0.5949440370513316,0.6889231956773446,0.8478260869565217,8.344999999999999,115,72,0.5972222222222223,5279,4158,0.2696007696007696,GSC_PAGE_homepage_3M_2026-05-08_to_2026-08-07.xlsx
split-expense-calculator,https://you-owe-me.com/tools/split-expense-calculator/,181,19738,0.0092,6.79,"top-10 clicks, top-10 impressions",98,3,390,0.007692307692307693,95,0.8384615384615385,0.08717948717948718,0.3153846153846154,0.4794871794871795,1.0,11.0,100,66,0.5151515151515151,11803,6650,0.7748872180451127,GSC_PAGE_split-expense-calculator_3M_2026-05-08_to_2026-08-07.xlsx
app-to-track-money-owed,https://you-owe-me.com/solutions/app-to-track-money-owed/,101,5737,0.0176,7.73,"top-10 clicks, top-10 impressions, top-10 CTR among pages with >=500 impressions",74,4,547,0.007312614259597806,71,0.8994515539305301,0.11882998171846434,0.4424131627056673,0.6270566727605119,1.0,9.9,48,43,0.11627906976744184,2621,2033,0.28922774225282843,GSC_PAGE_app-to-track-money-owed_3M_2026-05-08_to_2026-08-07.xlsx
say-no-to-money-requests,https://you-owe-me.com/blog/how-to-politely-say-no-when-people-ask-for-money/,72,14195,0.0051,7.31,"top-10 clicks, top-10 impressions",113,8,1138,0.007029876977152899,106,0.5606326889279437,0.13005272407732865,0.46397188049209137,0.6414762741652021,0.75,7.95,40,27,0.4814814814814814,7614,4824,0.5783582089552239,GSC_PAGE_say-no-to-money-requests_3M_2026-05-08_to_2026-08-07.xlsx
running-balance-definition,https://you-owe-me.com/blog/what-is-a-running-balance-between-two-people/,40,11186,0.0036,5.57,"top-10 clicks, top-10 impressions",73,19,6956,0.0027314548591144336,64,0.16978148361127085,0.3329499712478436,0.8023289246693502,0.8581081081081081,0.7894736842105263,6.0,23,17,0.3529411764705883,5583,4455,0.2531986531986532,GSC_PAGE_running-balance-definition_3M_2026-05-08_to_2026-08-07.xlsx
payment-plan-calculator,https://you-owe-me.com/tools/payment-plan-calculator/,33,3185,0.0104,6.51,"top-10 clicks, top-10 impressions, top-10 CTR among pages with >=500 impressions",40,0,57,0.0,40,1.0,0.12280701754385964,0.3333333333333333,0.47368421052631576,,6.5,21,9,1.3333333333333335,2476,521,3.752399232245681,GSC_PAGE_payment-plan-calculator_3M_2026-05-08_to_2026-08-07.xlsx
running-balance-calculator,https://you-owe-me.com/tools/running-balance-calculator/,26,2074,0.0125,7.29,"top-10 clicks, top-10 impressions, top-10 CTR among pages with >=500 impressions",28,0,108,0.0,28,1.0,0.39814814814814814,0.6944444444444444,0.8148148148148148,,10.625,15,3,4.0,1253,410,2.05609756097561,GSC_PAGE_running-balance-calculator_3M_2026-05-08_to_2026-08-07.xlsx
roommate-bill-split-calculator,https://you-owe-me.com/tools/roommate-bill-split-calculator/,19,1608,0.0118,8.0,"top-10 clicks, top-10 CTR among pages with >=500 impressions",15,0,80,0.0,15,1.0,0.675,0.875,0.9375,,7.67,11,7,0.5714285714285714,835,529,0.5784499054820416,GSC_PAGE_roommate-bill-split-calculator_3M_2026-05-08_to_2026-08-07.xlsx
borrow-money-from-friend,https://you-owe-me.com/blog/how-to-ask-to-borrow-money-from-a-friend-without-making-it-awkward/,13,1634,0.008,7.72,"top-10 clicks, top-10 impressions",20,0,203,0.0,20,1.0,0.645320197044335,0.8719211822660099,0.9507389162561576,,6.92,12,1,11.0,1508,126,10.968253968253968,GSC_PAGE_borrow-money-from-friend_3M_2026-05-08_to_2026-08-07.xlsx
repayment-receipt-generator,https://you-owe-me.com/tools/repayment-receipt-generator/,13,566,0.023,12.84,top-10 CTR among pages with >=500 impressions,16,0,67,0.0,16,1.0,0.3880597014925373,0.7611940298507462,0.9104477611940298,,31.0,7,4,0.75,293,204,0.4362745098039216,GSC_PAGE_repayment-receipt-generator_3M_2026-05-08_to_2026-08-07.xlsx
confront-money-owed,https://you-owe-me.com/blog/how-do-you-confront-someone-who-owes-you-money-without-ruining-the-relationship/,12,2471,0.0049,8.14,top-10 impressions,19,2,500,0.004,17,0.056,0.6,0.972,0.982,1.0,10.0,5,3,0.6666666666666667,1241,824,0.5060679611650485,GSC_PAGE_confront-money-owed_3M_2026-05-08_to_2026-08-07.xlsx
group-payback-calculator,https://you-owe-me.com/tools/group-payback-calculator/,8,628,0.0127,7.17,top-10 CTR among pages with >=500 impressions,5,0,8,0.0,5,1.0,0.375,1.0,1.0,,9.0,7,1,6.0,429,199,1.1557788944723617,GSC_PAGE_group-payback-calculator_3M_2026-05-08_to_2026-08-07.xlsx
